期別,開獎日期,號碼1,號碼2,號碼3,號碼4,號碼5,號碼6,特別號
102000001,2013-01-01,3,4,22,32,33,49,21
102000002,2013-01-04,1,7,24,31,35,47,21
102000003,2013-01-08,5,6,14,19,27,33,31
102000004,2013-01-11,1,10,24,33,44,48,37
102000005,2013-01-15,2,8,32,34,44,46,14
102000006,2013-01-18,22,27,30,33,37,46,24
102000007,2013-01-22,2,14,23,25,31,47,48
102000008,2013-01-25,2,4,11,18,48,49,38
102000009,2013-01-29,3,7,31,32,34,43,41
102000010,2013-02-01,1,26,28,37,39,46,3
102000011,2013-02-05,8,15,19,25,30,38,6
102000012,2013-02-08,4,11,22,26,38,47,13
102000013,2013-02-09,5,11,17,22,30,34,10
102000014,2013-02-10,9,10,12,21,31,35,19
102000015,2013-02-11,6,16,40,45,46,48,31
102000016,2013-02-12,3,13,19,24,27,38,40
102000017,2013-02-15,2,8,17,30,34,40,26
102000018,2013-02-19,7,23,24,28,32,40,8
102000019,2013-02-22,7,9,17,25,28,35,36
102000020,2013-02-26,8,15,21,30,36,39,17
102000021,2013-03-01,1,26,34,35,36,37,7
102000022,2013-03-05,5,24,30,35,36,38,11
102000023,2013-03-08,12,13,16,29,44,45,30
102000024,2013-03-12,16,20,35,46,47,49,31
102000025,2013-03-15,5,13,23,37,43,44,26
102000026,2013-03-19,1,12,25,37,39,40,18
102000027,2013-03-22,5,7,13,23,24,30,1
102000028,2013-03-26,1,9,20,28,39,42,47
102000029,2013-03-29,2,3,8,15,24,46,36
102000030,2013-04-02,11,15,20,23,26,35,31
102000031,2013-04-05,4,7,13,17,21,35,33
102000032,2013-04-09,7,16,35,45,47,48,39
102000033,2013-04-12,1,3,18,22,29,32,21
102000034,2013-04-16,6,18,40,43,45,48,24
102000035,2013-04-19,3,36,37,40,42,48,17
102000036,2013-04-23,12,15,29,31,36,45,40
102000037,2013-04-26,15,17,19,30,40,47,25
102000038,2013-04-30,10,30,32,37,46,47,16
102000039,2013-05-03,1,4,8,22,32,45,2
102000040,2013-05-07,9,11,14,25,33,35,2
102000041,2013-05-10,2,17,25,32,39,43,34
102000042,2013-05-14,1,6,7,27,30,39,21
102000043,2013-05-17,5,10,16,22,23,24,31
102000044,2013-05-21,24,29,35,39,42,49,48
102000045,2013-05-24,10,27,28,31,37,41,34
102000046,2013-05-28,7,10,16,17,30,43,23
102000047,2013-05-31,3,6,10,33,39,44,37
102000048,2013-06-04,14,19,34,43,46,47,42
102000049,2013-06-07,3,14,29,33,39,48,22
102000050,2013-06-11,16,20,34,42,46,49,4
102000051,2013-06-14,4,16,22,32,35,47,43
102000052,2013-06-18,4,11,25,36,41,43,27
102000053,2013-06-21,10,29,35,39,41,44,7
102000054,2013-06-25,7,18,26,28,34,38,5
102000055,2013-06-28,22,26,31,42,44,49,29
102000056,2013-07-02,1,5,18,21,40,44,22
102000057,2013-07-05,11,14,28,39,40,45,42
102000058,2013-07-09,19,24,28,29,41,43,37
102000059,2013-07-12,15,24,29,34,47,48,31
102000060,2013-07-16,10,13,16,29,31,37,32
102000061,2013-07-19,3,5,9,15,30,49,48
102000062,2013-07-23,4,17,24,27,35,49,39
102000063,2013-07-26,8,17,21,34,39,45,44
102000064,2013-07-30,6,15,16,22,43,45,48
102000065,2013-08-02,7,27,43,44,45,46,35
102000066,2013-08-06,1,4,17,27,32,48,6
102000067,2013-08-09,3,4,12,13,24,30,9
102000068,2013-08-13,12,14,16,34,37,48,7
102000069,2013-08-16,4,17,24,27,29,40,9
102000070,2013-08-20,5,7,16,28,31,49,34
102000071,2013-08-23,5,11,12,14,31,35,26
102000072,2013-08-27,5,8,11,14,15,36,46
102000073,2013-08-30,2,21,24,27,36,46,5
102000074,2013-09-03,11,13,22,29,39,48,45
102000075,2013-09-06,6,7,14,33,36,48,18
102000076,2013-09-10,1,10,14,34,42,47,9
102000077,2013-09-13,12,16,26,27,28,45,6
102000078,2013-09-17,1,8,17,19,40,46,15
102000079,2013-09-20,6,12,19,28,39,47,36
102000080,2013-09-24,7,9,15,23,34,35,41
102000081,2013-09-27,1,12,18,19,38,46,2
102000082,2013-10-01,1,4,14,17,23,46,41
102000083,2013-10-04,7,12,18,25,28,48,46
102000084,2013-10-08,4,6,7,11,26,31,38
102000085,2013-10-11,2,10,32,37,46,49,28
102000086,2013-10-15,8,13,16,20,22,28,49
102000087,2013-10-18,9,11,17,39,40,43,46
102000088,2013-10-22,7,8,16,23,32,39,22
102000089,2013-10-25,3,8,10,11,35,36,39
102000090,2013-10-29,1,4,21,30,39,42,44
102000091,2013-11-01,6,16,26,31,36,46,9
102000092,2013-11-05,3,12,27,29,37,46,17
102000093,2013-11-08,1,3,28,30,33,39,34
102000094,2013-11-12,3,12,22,23,29,46,33
102000095,2013-11-15,2,4,18,31,36,43,8
102000096,2013-11-19,15,16,33,35,36,46,21
102000097,2013-11-22,8,9,11,24,40,47,33
102000098,2013-11-26,1,10,11,15,20,21,26
102000099,2013-11-29,2,8,13,19,30,31,20
102000100,2013-12-03,8,10,17,38,44,49,40
102000101,2013-12-06,4,6,8,10,15,36,13
102000102,2013-12-10,6,11,27,34,42,49,21
102000103,2013-12-13,10,16,26,28,41,48,42
102000104,2013-12-17,1,4,9,14,22,28,20
102000105,2013-12-20,8,9,14,17,25,45,27
102000106,2013-12-24,9,21,24,33,36,43,3
102000107,2013-12-27,2,12,16,31,39,43,18
102000108,2013-12-31,5,27,29,36,40,42,35
103000001,2014-01-03,11,18,20,21,35,37,8
103000002,2014-01-07,1,7,21,25,35,36,39
103000003,2014-01-10,7,17,19,30,32,37,3
103000004,2014-01-14,2,11,21,41,45,49,26
103000005,2014-01-17,13,15,20,26,29,36,37
103000006,2014-01-21,12,15,22,38,43,44,9
103000007,2014-01-24,1,4,20,29,41,45,36
103000008,2014-01-28,1,2,5,7,26,30,24
103000009,2014-01-30,9,22,44,45,48,49,8
103000010,2014-01-31,17,23,27,38,48,49,19
103000011,2014-02-01,6,9,13,19,36,37,27
103000012,2014-02-02,3,13,14,19,24,45,5
103000013,2014-02-03,1,2,16,17,27,30,48
103000014,2014-02-04,8,12,19,32,42,46,28
103000015,2014-02-07,5,11,12,21,22,28,25
103000016,2014-02-11,6,15,21,22,31,44,41
103000017,2014-02-14,10,19,20,24,33,48,1
103000018,2014-02-18,6,19,20,26,32,47,35
103000019,2014-02-21,11,12,23,28,40,48,9
103000020,2014-02-25,3,5,9,12,13,46,4
103000021,2014-02-28,13,17,18,24,28,32,37
103000022,2014-03-04,8,26,35,37,40,43,6
103000023,2014-03-07,6,18,26,30,37,38,16
103000024,2014-03-11,13,15,16,20,40,43,14
103000025,2014-03-14,2,8,27,40,41,47,28
103000026,2014-03-18,12,26,28,35,39,40,16
103000027,2014-03-21,8,18,26,31,46,47,20
103000028,2014-03-25,19,23,25,30,42,47,16
103000029,2014-03-28,9,18,23,35,36,47,41
103000030,2014-04-01,18,22,29,30,46,47,6
103000031,2014-04-04,8,24,35,37,41,47,23
103000032,2014-04-08,1,14,17,27,28,45,11
103000033,2014-04-11,1,3,4,9,12,17,15
103000034,2014-04-15,5,8,24,26,35,44,41
103000035,2014-04-18,8,9,15,40,44,48,24
103000036,2014-04-22,11,12,15,18,20,37,42
103000037,2014-04-25,4,24,34,35,38,46,30
103000038,2014-04-29,2,9,27,30,44,46,22
103000039,2014-05-02,1,7,23,25,37,40,12
103000040,2014-05-06,10,25,35,39,40,46,31
103000041,2014-05-09,1,11,13,21,27,37,3
103000042,2014-05-13,15,20,29,31,32,44,23
103000043,2014-05-16,14,31,38,41,42,45,29
103000044,2014-05-20,6,13,30,33,34,35,38
103000045,2014-05-23,11,17,22,27,30,46,15
103000046,2014-05-27,10,19,23,26,32,39,16
103000047,2014-05-30,9,17,21,24,30,35,15
103000048,2014-06-03,16,31,32,33,35,44,46
103000049,2014-06-06,25,29,40,41,47,49,48
103000050,2014-06-10,3,11,28,32,33,35,30
103000051,2014-06-13,4,21,28,32,37,42,16
103000052,2014-06-17,3,6,18,20,25,48,12
103000053,2014-06-20,12,14,16,33,36,47,48
103000054,2014-06-24,1,8,12,14,40,41,15
103000055,2014-06-27,13,21,27,34,35,36,24
103000056,2014-07-01,6,7,8,9,21,48,18
103000057,2014-07-04,3,14,17,24,27,48,28
103000058,2014-07-08,10,22,25,33,39,47,38
103000059,2014-07-11,1,7,14,15,18,30,33
103000060,2014-07-15,7,18,23,32,34,48,13
103000061,2014-07-18,1,2,15,19,21,30,40
103000062,2014-07-22,3,9,13,17,28,42,14
103000063,2014-07-25,5,21,30,32,35,45,26
103000064,2014-07-29,31,32,34,36,44,47,46
103000065,2014-08-01,5,8,21,23,32,45,18
103000066,2014-08-05,4,11,26,33,40,42,34
103000067,2014-08-08,26,31,32,38,42,45,37
103000068,2014-08-12,4,6,10,12,34,45,44
103000069,2014-08-15,18,23,29,46,47,48,5
103000070,2014-08-19,6,7,9,12,14,19,17
103000071,2014-08-22,8,16,23,30,31,43,18
103000072,2014-08-26,1,17,19,23,32,43,9
103000073,2014-08-29,9,10,21,23,38,39,35
103000074,2014-09-02,7,8,36,39,42,43,22
103000075,2014-09-05,10,16,25,27,32,36,45
103000076,2014-09-09,21,23,29,41,42,49,14
103000077,2014-09-12,2,23,27,31,36,49,15
103000078,2014-09-16,7,12,16,18,19,41,45
103000079,2014-09-19,2,6,17,29,32,39,4
103000080,2014-09-23,2,11,20,28,32,38,16
103000081,2014-09-26,8,15,19,22,29,37,39
103000082,2014-09-30,18,35,36,41,47,49,15
103000083,2014-10-03,10,14,19,24,35,37,39
103000084,2014-10-07,17,18,40,41,45,47,29
103000085,2014-10-10,1,11,19,24,26,28,33
103000086,2014-10-14,9,10,14,20,36,47,8
103000087,2014-10-17,2,11,20,32,33,36,39
103000088,2014-10-21,14,28,31,38,42,44,45
103000089,2014-10-24,1,17,20,36,37,45,15
103000090,2014-10-28,5,16,25,32,37,44,21
103000091,2014-10-31,2,8,10,14,27,49,20
103000092,2014-11-04,3,20,30,35,38,41,47
103000093,2014-11-07,11,19,25,27,40,49,33
103000094,2014-11-11,5,11,18,23,36,43,14
103000095,2014-11-14,15,16,29,34,41,44,49
103000096,2014-11-18,11,12,20,26,28,43,6
103000097,2014-11-21,2,3,22,26,32,34,40
103000098,2014-11-25,1,15,16,32,44,48,40
103000099,2014-11-28,1,10,21,35,40,44,36
103000100,2014-12-02,9,11,13,23,26,42,47
103000101,2014-12-05,11,18,30,34,37,47,17
103000102,2014-12-09,7,9,23,33,41,43,24
103000103,2014-12-12,7,8,24,29,32,48,37
103000104,2014-12-16,17,28,32,34,35,45,8
103000105,2014-12-19,1,9,24,32,41,49,40
103000106,2014-12-23,3,27,30,31,32,39,35
103000107,2014-12-26,9,27,32,42,45,49,30
103000108,2014-12-30,7,30,32,44,48,49,45
104000001,2015-01-02,13,22,23,29,31,48,6
104000002,2015-01-06,11,16,29,30,37,43,13
104000003,2015-01-09,7,8,18,21,23,24,11
104000004,2015-01-13,2,14,16,22,37,46,49
104000005,2015-01-16,2,17,28,32,38,46,49
104000006,2015-01-20,9,24,28,35,45,47,48
104000007,2015-01-23,8,16,20,38,39,42,29
104000008,2015-01-27,4,9,15,21,27,45,6
104000009,2015-01-30,3,14,24,35,39,44,28
104000010,2015-02-03,5,13,15,16,18,30,8
104000011,2015-02-06,5,11,29,36,42,46,48
104000012,2015-02-10,14,15,26,29,35,44,9
104000013,2015-02-13,1,9,15,25,29,35,38
104000014,2015-02-17,3,11,15,23,40,46,13
104000015,2015-02-18,3,6,15,16,27,31,14
104000016,2015-02-19,7,25,27,31,40,49,11
104000017,2015-02-20,5,9,10,28,29,45,41
104000018,2015-02-21,2,5,11,17,27,40,20
104000019,2015-02-22,3,6,12,34,37,43,28
104000020,2015-02-23,14,20,21,32,38,43,23
104000021,2015-02-24,3,28,39,41,46,48,9
104000022,2015-02-27,2,6,27,34,38,43,45
104000023,2015-03-03,4,6,11,41,43,46,21
104000024,2015-03-06,6,21,22,35,37,44,29
104000025,2015-03-10,3,11,25,34,46,47,42
104000026,2015-03-13,6,9,14,16,22,33,11
104000027,2015-03-17,5,32,36,40,42,49,1
104000028,2015-03-20,4,7,9,13,29,46,8
104000029,2015-03-24,3,4,6,9,17,24,28
104000030,2015-03-27,12,13,15,18,24,36,39
104000031,2015-03-31,2,4,13,25,32,43,15
104000032,2015-04-03,13,32,36,40,42,43,41
104000033,2015-04-07,11,17,19,33,45,47,4
104000034,2015-04-10,10,11,17,20,42,44,13
104000035,2015-04-14,1,22,23,38,48,49,11
104000036,2015-04-17,26,32,33,36,45,47,39
104000037,2015-04-21,1,3,11,22,29,33,30
104000038,2015-04-24,13,25,31,35,41,46,49
104000039,2015-04-28,3,5,12,26,36,44,23
104000040,2015-05-01,8,15,25,29,47,49,9
104000041,2015-05-05,8,28,41,42,44,49,30
104000042,2015-05-08,2,10,15,28,44,49,39
104000043,2015-05-12,1,13,23,29,31,33,17
104000044,2015-05-15,3,6,18,27,29,32,40
104000045,2015-05-19,15,16,29,39,42,46,14
104000046,2015-05-22,3,21,23,28,37,43,5
104000047,2015-05-26,2,10,11,20,26,45,30
104000048,2015-05-29,2,5,11,28,32,34,24
104000049,2015-06-02,1,7,19,20,46,47,13
104000050,2015-06-05,8,21,32,35,41,48,34
104000051,2015-06-09,3,20,27,34,37,44,12
104000052,2015-06-12,8,19,22,24,26,28,18
104000053,2015-06-16,3,4,25,35,41,45,7
104000054,2015-06-19,3,5,11,18,25,38,15
104000055,2015-06-23,2,13,33,35,43,45,5
104000056,2015-06-26,5,6,12,28,29,41,7
104000057,2015-06-30,18,19,32,35,46,48,47
104000058,2015-07-03,21,23,28,29,41,46,24
104000059,2015-07-07,1,14,27,33,42,46,41
104000060,2015-07-10,5,6,13,26,29,47,33
104000061,2015-07-14,10,12,14,19,30,45,41
104000062,2015-07-17,4,7,20,27,33,40,38
104000063,2015-07-21,8,9,16,39,40,44,28
104000064,2015-07-24,10,12,25,33,39,42,29
104000065,2015-07-28,6,15,27,32,44,49,16
104000066,2015-07-31,13,16,18,30,32,40,29
104000067,2015-08-04,3,12,17,19,38,48,43
104000068,2015-08-07,25,26,27,28,36,37,38
104000069,2015-08-11,1,2,35,43,45,46,14
104000070,2015-08-14,5,13,14,23,24,42,35
104000071,2015-08-18,8,20,29,30,42,49,21
104000072,2015-08-21,10,15,20,21,27,36,45
104000073,2015-08-25,13,15,22,26,45,47,49
104000074,2015-08-28,8,11,12,15,40,46,16
104000075,2015-09-01,9,18,19,20,40,48,3
104000076,2015-09-04,19,20,44,46,47,49,9
104000077,2015-09-08,8,28,31,32,36,43,9
104000078,2015-09-11,5,10,18,29,41,44,30
104000079,2015-09-15,2,13,30,31,34,44,39
104000080,2015-09-18,6,16,17,36,37,41,28
104000081,2015-09-22,6,10,39,44,46,47,30
104000082,2015-09-25,9,13,21,25,38,39,2
104000083,2015-09-29,1,3,25,31,35,44,15
104000084,2015-10-02,11,15,36,41,44,45,35
104000085,2015-10-06,3,8,10,28,38,47,13
104000086,2015-10-09,2,8,22,27,35,43,24
104000087,2015-10-13,24,29,31,32,44,49,39
104000088,2015-10-16,20,25,29,31,40,44,21
104000089,2015-10-20,12,17,32,37,38,39,27
104000090,2015-10-23,1,16,41,43,46,47,25
104000091,2015-10-27,7,8,10,17,34,36,43
104000092,2015-10-30,3,6,8,15,20,30,40
104000093,2015-11-03,8,16,22,28,45,48,13
104000094,2015-11-06,8,24,27,30,45,49,42
104000095,2015-11-10,7,10,11,27,28,45,21
104000096,2015-11-13,1,11,16,18,31,33,19
104000097,2015-11-17,2,7,26,31,44,47,36
104000098,2015-11-20,4,9,10,39,40,42,8
104000099,2015-11-24,1,9,13,28,29,48,45
104000100,2015-11-27,4,5,23,25,40,41,11
104000101,2015-12-01,6,13,15,19,37,41,22
104000102,2015-12-04,16,21,34,37,41,47,29
104000103,2015-12-08,8,15,32,36,40,43,3
104000104,2015-12-11,1,4,25,29,42,43,11
104000105,2015-12-15,4,11,18,22,23,31,19
104000106,2015-12-18,5,6,11,15,18,25,31
104000107,2015-12-22,8,12,13,29,37,49,43
104000108,2015-12-25,3,7,11,12,16,30,13
104000109,2015-12-29,1,8,13,30,32,42,11
105000001,2016-01-01,16,19,24,29,41,43,32
105000002,2016-01-05,1,3,7,15,25,33,21
105000003,2016-01-08,3,10,13,28,44,48,1
105000004,2016-01-12,5,15,18,39,40,44,37
105000005,2016-01-15,6,11,16,17,27,42,35
105000006,2016-01-19,4,9,14,23,44,46,41
105000007,2016-01-22,10,15,17,20,43,46,37
105000008,2016-01-26,11,13,17,35,39,46,2
105000009,2016-01-29,16,35,38,44,45,48,27
105000010,2016-02-02,15,21,23,26,43,48,34
105000011,2016-02-05,4,5,26,30,38,41,28
105000012,2016-02-07,4,11,21,25,35,37,43
105000013,2016-02-08,8,12,13,16,27,32,24
105000014,2016-02-09,9,24,25,31,37,45,12
105000015,2016-02-10,18,19,22,32,44,47,9
105000016,2016-02-11,3,13,29,30,34,48,28
105000017,2016-02-12,6,10,11,22,32,45,4
105000018,2016-02-13,4,6,18,29,35,48,20
105000019,2016-02-14,1,3,16,20,21,26,22
105000020,2016-02-16,11,23,29,33,34,40,6
105000021,2016-02-19,11,20,23,30,39,44,49
105000022,2016-02-23,10,14,19,20,43,45,22
105000023,2016-02-26,3,9,17,21,41,46,27
105000024,2016-03-01,7,14,17,22,23,34,12
105000025,2016-03-04,5,7,12,17,22,29,4
105000026,2016-03-08,3,27,30,35,39,41,32
105000027,2016-03-11,9,16,30,34,36,49,31
105000028,2016-03-15,6,14,30,42,47,48,18
105000029,2016-03-18,1,3,4,18,25,47,13
105000030,2016-03-22,7,11,16,20,30,33,6
105000031,2016-03-25,7,11,22,37,40,41,20
105000032,2016-03-29,1,17,18,34,46,47,25
105000033,2016-04-01,8,12,16,29,37,39,40
105000034,2016-04-05,14,23,26,32,38,43,3
105000035,2016-04-08,2,7,13,30,36,45,43
105000036,2016-04-12,11,14,19,39,45,49,23
105000037,2016-04-15,9,13,17,28,45,47,3
105000038,2016-04-19,12,21,39,41,46,47,14
105000039,2016-04-22,12,19,23,33,46,48,29
105000040,2016-04-26,6,12,21,25,34,43,28
105000041,2016-04-29,8,14,27,31,36,40,3
105000042,2016-05-03,1,7,17,40,41,43,33
105000043,2016-05-06,1,26,37,39,42,48,41
105000044,2016-05-10,3,4,8,22,36,38,7
105000045,2016-05-13,3,10,22,31,35,38,37
105000046,2016-05-17,2,3,20,23,34,42,40
105000047,2016-05-20,5,10,25,30,40,43,26
105000048,2016-05-24,6,8,13,21,33,39,45
105000049,2016-05-27,2,9,13,16,24,39,41
105000050,2016-05-31,1,2,5,32,45,46,43
105000051,2016-06-03,3,10,27,33,41,44,7
105000052,2016-06-07,5,8,23,31,39,44,19
105000053,2016-06-10,4,13,15,22,23,48,3
105000054,2016-06-14,12,13,16,33,35,37,18
105000055,2016-06-17,7,10,17,20,21,31,49
105000056,2016-06-21,2,27,34,35,36,49,26
105000057,2016-06-24,14,17,27,28,39,41,18
105000058,2016-06-28,7,8,25,39,45,46,38
105000059,2016-07-01,8,20,24,34,41,43,32
105000060,2016-07-05,6,9,15,17,40,47,24
105000061,2016-07-08,9,10,13,19,23,35,38
105000062,2016-07-12,25,31,34,42,43,46,5
105000063,2016-07-15,24,25,29,33,35,38,49
105000064,2016-07-19,7,13,33,40,45,46,39
105000065,2016-07-22,2,10,17,27,33,49,15
105000066,2016-07-26,9,15,19,22,35,41,37
105000067,2016-07-29,9,15,27,28,30,41,13
105000068,2016-08-02,4,15,20,22,28,29,1
105000069,2016-08-05,1,2,22,27,35,40,33
105000070,2016-08-09,15,17,30,35,37,45,41
105000071,2016-08-12,8,20,33,35,42,43,10
105000072,2016-08-16,5,14,15,20,27,29,35
105000073,2016-08-19,5,19,26,44,46,48,36
105000074,2016-08-23,25,26,37,38,44,48,31
105000075,2016-08-26,9,28,34,41,42,49,6
105000076,2016-08-30,1,11,18,27,36,46,26
105000077,2016-09-02,9,11,20,21,45,46,42
105000078,2016-09-06,4,7,20,23,28,45,35
105000079,2016-09-09,1,12,35,36,41,44,21
105000080,2016-09-13,3,16,22,33,40,41,39
105000081,2016-09-16,17,23,30,31,34,49,36
105000082,2016-09-20,4,7,17,22,44,45,32
105000083,2016-09-23,1,2,29,31,33,43,40
105000084,2016-09-27,14,15,16,35,46,48,2
105000085,2016-09-30,4,10,31,38,40,48,5
105000086,2016-10-04,11,23,30,35,40,44,7
105000087,2016-10-07,10,16,30,33,37,42,43
105000088,2016-10-11,2,8,13,14,37,39,38
105000089,2016-10-14,10,23,29,30,44,47,7
105000090,2016-10-18,14,15,16,24,44,47,21
105000091,2016-10-21,2,8,21,32,33,37,15
105000092,2016-10-25,5,15,25,27,33,34,43
105000093,2016-10-28,1,10,13,33,37,38,40
105000094,2016-11-01,10,11,15,20,31,49,44
105000095,2016-11-04,2,3,17,28,38,49,21
105000096,2016-11-08,3,6,11,17,22,49,44
105000097,2016-11-11,2,7,8,22,28,32,20
105000098,2016-11-15,7,8,25,33,41,43,6
105000099,2016-11-18,6,18,24,25,26,34,19
105000100,2016-11-22,1,21,24,25,34,44,19
105000101,2016-11-25,1,3,22,28,37,42,10
105000102,2016-11-29,3,21,26,28,38,40,42
105000103,2016-12-02,5,25,26,34,40,49,47
105000104,2016-12-06,27,30,32,41,44,46,42
105000105,2016-12-09,12,28,38,42,44,49,2
105000106,2016-12-13,19,29,33,36,39,49,6
105000107,2016-12-16,11,19,25,34,36,42,8
105000108,2016-12-20,1,29,35,36,44,46,6
105000109,2016-12-23,8,23,28,38,41,42,30
105000110,2016-12-27,10,25,26,29,31,40,2
105000111,2016-12-30,6,7,35,37,38,47,12
106000001,2017-01-03,18,22,41,42,47,49,45
106000002,2017-01-06,12,14,32,35,40,43,17
106000003,2017-01-10,4,13,14,37,39,46,31
106000004,2017-01-13,14,19,21,25,27,38,22
106000005,2017-01-17,4,12,17,28,34,40,7
106000006,2017-01-20,1,5,16,18,31,41,13
106000007,2017-01-24,1,9,17,31,33,48,49
106000008,2017-01-27,1,5,7,31,35,49,42
106000009,2017-01-28,1,19,20,25,30,32,2
106000010,2017-01-29,3,8,9,12,14,22,46
106000011,2017-01-30,10,19,26,29,43,45,20
106000012,2017-01-31,4,11,16,28,33,46,17
106000013,2017-02-01,4,9,11,32,43,47,44
106000014,2017-02-03,2,11,25,29,30,33,20
106000015,2017-02-07,6,18,19,23,32,49,21
106000016,2017-02-10,7,11,12,15,24,26,6
106000017,2017-02-14,10,11,21,23,28,37,24
106000018,2017-02-17,6,16,21,23,46,49,39
106000019,2017-02-21,8,10,15,32,39,48,43
106000020,2017-02-24,12,16,35,38,41,47,1
106000021,2017-02-28,6,14,15,19,30,43,31
106000022,2017-03-03,2,16,20,37,43,48,10
106000023,2017-03-07,6,12,22,31,41,44,2
106000024,2017-03-10,11,12,21,35,41,48,1
106000025,2017-03-14,15,17,20,32,33,39,21
106000026,2017-03-17,4,17,25,36,40,44,8
106000027,2017-03-21,8,16,27,32,43,44,7
106000028,2017-03-24,24,36,39,41,45,49,22
106000029,2017-03-28,21,22,32,37,42,44,38
106000030,2017-03-31,17,18,22,24,25,38,39
106000031,2017-04-04,5,17,33,34,43,44,4
106000032,2017-04-07,19,23,31,32,37,49,26
106000033,2017-04-11,9,22,31,36,40,47,8
106000034,2017-04-14,2,3,4,23,29,42,14
106000035,2017-04-18,14,21,25,35,36,39,18
106000036,2017-04-21,5,15,22,23,28,39,25
106000037,2017-04-25,16,17,30,32,35,41,26
106000038,2017-04-28,1,3,19,31,32,42,43
106000039,2017-05-02,14,23,24,27,36,39,13
106000040,2017-05-05,1,9,18,19,34,49,11
106000041,2017-05-09,16,17,20,21,32,40,15
106000042,2017-05-12,2,9,18,22,25,35,14
106000043,2017-05-16,5,6,7,14,29,46,24
106000044,2017-05-19,15,16,21,23,28,46,14
106000045,2017-05-23,2,10,15,22,26,32,42
106000046,2017-05-26,8,14,16,19,21,35,20
106000047,2017-05-30,7,14,19,30,31,39,40
106000048,2017-06-02,3,7,8,23,30,31,32
106000049,2017-06-06,14,16,25,32,36,48,12
106000050,2017-06-09,24,26,31,32,37,46,1
106000051,2017-06-13,2,4,17,22,36,43,40
106000052,2017-06-16,1,15,21,26,36,45,10
106000053,2017-06-20,1,12,29,30,33,44,19
106000054,2017-06-23,2,8,12,34,41,42,7
106000055,2017-06-27,11,33,34,46,47,49,38
106000056,2017-06-30,8,12,22,30,32,36,6
106000057,2017-07-04,4,21,27,28,30,35,42
106000058,2017-07-07,18,30,40,42,44,49,8
106000059,2017-07-11,6,16,19,23,33,39,7
106000060,2017-07-14,16,18,19,25,26,32,22
106000061,2017-07-18,13,14,21,29,42,48,11
106000062,2017-07-21,2,12,24,32,42,47,29
106000063,2017-07-25,2,11,23,30,33,42,7
106000064,2017-07-28,11,13,18,22,38,39,3
106000065,2017-08-01,2,12,21,30,42,47,31
106000066,2017-08-04,15,16,26,27,39,45,37
106000067,2017-08-08,6,9,23,27,34,46,20
106000068,2017-08-11,2,8,9,18,27,37,33
106000069,2017-08-15,13,16,27,28,33,42,11
106000070,2017-08-18,7,10,12,35,38,47,23
106000071,2017-08-22,4,10,13,36,44,45,5
106000072,2017-08-25,1,4,19,24,28,31,49
